Avg TRACK Score,Present_Percent,"Soft Skill Score
(Out of 3)",Techability Score (Out of 2.0),Learnability Score (Out of 2.0),Communicability Score (Out of 1.0),Degree %,10th %,12th %,Consistency_in_Acadamics,Pick Highest Degree,Highest Degree Stream,Tech Excelence,Resilience,Ability to Learn,Communication,Knowledge,Mapped to Company
4.09,0.96,2.2460683760683757,1.515,1.745,0.83,6.0,6.0,6.4,3,1,1,0.91,0.835,0.83,0.73,1.515,0
4.19,1.0,2.76,1.5475,1.715,0.925,5.5,6.0,6.3,3,3,1,0.925,0.79,0.925,0.7425,1.5475,1
4.04,1.0,2.2460683760683757,1.58,1.645,0.8175,6.529999999999999,9.0,9.14,1,1,2,0.955,0.69,0.8175,0.76,1.58,0
4.06,0.96,2.2460683760683757,1.57,1.6375,0.8475,6.26,7.26,6.01,1,1,1,0.88,0.7575,0.8475,0.725,1.57,0
4.35,0.96,2.2460683760683757,1.7275,1.715,0.91,5.6,6.8,4.6,2,1,1,0.865,0.85,0.91,0.85,1.7275,0
4.06,0.8,2.2460683760683757,1.4525,1.7,0.91,6.35,8.327,5.7,2,1,1,0.895,0.805,0.91,0.7125,1.4525,0
3.4,0.92,1.92,1.181666667,1.44,0.716,6.103,6.133,4.867,2,1,2,0.7,0.74,0.716,0.5191666667,1.181666667,0
3.9,1.0,1.67,1.4875,1.548,0.718,6.534999999999999,7.981,6.537999999999999,1,1,2,0.79,0.758,0.718,0.665,1.4875,0
3.98,1.0,1.87,1.47,1.584,0.794,7.33,7.790000000000001,6.459999999999999,1,1,1,0.83,0.754,0.794,0.665,1.47,0
4.37,1.0,2.2460683760683757,1.7325,1.7125,0.925,7.14,7.0,8.379999999999999,1,1,1,0.91,0.8025,0.925,0.9175,1.7325,0
4.88,1.0,2.2460683760683757,1.94,1.94,1.0,6.3,8.4,5.8,2,1,1,0.985,0.955,1.0,1.0,1.94,0
4.05,1.0,2.2460683760683757,1.6120833330000002,1.605,0.8325,8.29,9.1,9.73,1,1,2,0.8025,0.8025,0.8325,0.8095833333,1.6120833330000002,0
4.32,0.96,3.0,1.7125,1.818,0.868,7.3,8.8,8.2,1,1,2,0.89,0.9279999999999999,0.868,0.88,1.7125,1
3.5,1.0,1.47,1.13,1.34,0.85,5.642,7.236,5.383,2,1,1,0.66,0.654,0.74,0.44333333329999997,1.127291667,1
4.48,0.95,2.7,1.54,1.94,1.0,5.5,6.5,4.7,2,1,2,0.955,0.985,1.0,0.61,1.535,0
4.0625,0.88,1.05,0.8875,1.64,1.625,6.385,7.9,5.7829999999999995,2,1,1,0.7525,0.835,0.79,0.7975,0.8875,0
4.4375,1.0,1.47,0.7975,1.6925,1.775,6.182,7.2,4.867,2,1,1,0.895,0.88,0.895,0.97,0.7975,1
4.1225,1.0,1.4,0.85,1.655,1.4975,6.4,8.36,5.32,2,4,1,0.805,0.74,0.7575,0.97,0.85,0
3.893333333,0.92,2.4,0.8,1.5733333330000001,1.42,6.3,8.091,7.1,1,4,1,0.7733333333,0.75,0.67,0.9,0.8,1
3.63,0.64,1.75,1.6733333330000002,1.71,0.8333333333,6.35,6.6,6.529999999999999,1,2,1,0.88,0.83,0.8333333333,0.7966666667,1.6733333330000002,0
3.98,0.92,1.82,1.3875,1.715,0.88,6.45,5.8,6.2,2,1,2,0.865,0.85,0.88,0.7275,1.3875,0
3.89,0.96,1.68,1.3725,1.67,0.85,6.47,9.1,6.7,1,1,2,0.82,0.85,0.85,0.68,1.3725,0
3.68,1.0,1.68,1.3033333329999999,1.58,0.8,6.62,8.3,7.74,1,1,2,0.84,0.74,0.8,0.6533333333,1.3033333329999999,1
4.41,1.0,1.47,1.76,1.76,0.89,5.5,8.09,5.85,2,1,2,0.82,0.94,0.89,0.835,1.76,0
4.55,1.0,1.65,1.73,1.835,0.985,6.3,7.6,7.459999999999999,1,1,2,0.895,0.94,0.985,0.79,1.73,0
4.48,0.92,2.22,1.745,1.805,0.925,6.41,8.736,7.279999999999999,1,1,2,0.895,0.91,0.925,0.805,1.745,0
4.25,0.92,1.61,1.64,1.64,0.97,7.8,8.1,7.7,1,1,2,0.835,0.805,0.97,0.775,1.64,0
3.971666667,0.16,2.76,1.589166667,1.5025,0.88,6.22,9.040000000000001,6.984999999999999,1,1,2,0.79,0.7125,0.88,0.8466666667,1.589166667,0
4.0366666669999995,1.0,1.75,1.3566666669999998,1.78,0.9,6.5,8.0,6.9,1,1,1,0.88,0.9,0.9,0.71,1.3566666669999998,0
4.013333333,0.96,2.2460683760683757,1.3533333330000001,1.78,0.88,7.59,9.2,6.9,1,1,2,0.92,0.86,0.88,0.6866666667,1.3533333330000001,0
4.2125,0.72,2.2460683760683757,1.6475,1.67,0.895,6.7,4.0,6.2,2,4,1,0.85,0.82,0.895,0.8025,1.6475,0
3.4575,0.4,2.2460683760683757,1.16,1.4325,0.865,6.8,7.2,7.0,1,1,2,0.7075,0.725,0.865,0.6075,1.16,0
4.2325,0.84,2.2460683760683757,1.6025,1.715,0.915,8.15,7.770999999999999,6.7,1,1,1,0.82,0.895,0.915,0.725,1.6025,0
3.5925,0.92,2.2460683760683757,1.185,1.6375,0.77,7.154000000000001,9.5,9.22,1,1,3,0.7875,0.85,0.77,0.575,1.185,0
3.633333333,0.92,2.2460683760683757,1.1966666670000001,1.5766666669999998,0.86,7.75,8.72,6.462000000000001,1,1,1,0.7566666667,0.82,0.86,0.5966666667,1.1966666670000001,0
4.133333333,0.92,2.2460683760683757,1.6333333330000002,1.7,0.8,6.2,7.4,6.9,1,1,1,0.86,0.84,0.8,0.7766666667000001,1.6333333330000002,0
3.91,1.0,2.94,1.5275,1.535,0.85,5.821,9.5,7.4670000000000005,2,1,1,0.79,0.745,0.85,0.7975,1.5275,1
3.9,0.68,2.57,1.435,1.625,0.835,5.8,7.8,5.6,2,1,1,0.835,0.79,0.835,0.9,1.435,1
3.86,0.8,2.76,1.415,1.6075,0.835,6.12,9.22,6.892,1,1,2,0.8175,0.79,0.835,0.9,1.415,0
4.18,0.76,2.76,1.5825,1.715,0.88,7.6,8.2,6.7379999999999995,1,1,1,0.88,0.835,0.88,0.7625,1.5825,1
2.495,0.88,2.2460683760683757,1.025,1.015,0.455,6.96,8.126999999999999,6.0,2,1,2,0.35,0.49,0.525,0.455,0.675,1
3.866,1.0,1.61,1.76,1.682,0.7759999999999999,8.4,8.382,7.523999999999999,1,1,1,0.835,0.8540000000000001,0.828,0.7759999999999999,0.925,0
3.488,0.76,1.54,1.4725,1.598,0.7120000000000001,6.34,7.220000000000001,5.846,2,1,1,0.7075,0.804,0.794,0.7120000000000001,0.765,0
3.90125,1.0,3.0,1.53125,1.595,0.775,7.159999999999999,9.7,9.6,1,1,1,0.75625,0.835,0.76,0.775,0.775,0
4.0775,0.96,3.0,1.655,1.625,0.7975,7.7,8.66,8.494,1,1,1,0.85,0.82,0.805,0.7975,0.805,0
4.195,1.0,3.0,1.715,1.7425,0.7375,5.891,8.22,7.615,2,4,1,0.85,0.835,0.9075,0.7375,0.865,0
4.01625,1.0,3.0,1.59375,1.61,0.8125,8.8,9.2,8.9,1,1,2,0.79375,0.805,0.805,0.8125,0.8,0
4.10625,1.0,2.69,1.6475,1.67,0.78875,5.8,9.0,8.01,2,1,2,0.8125,0.835,0.835,0.78875,0.835,0
4.09375,1.0,3.0,1.6175,1.6075,0.86875,6.003,9.091,6.95627857142857,1,1,2,0.8125,0.8025,0.805,0.86875,0.805,1
3.99125,1.0,3.0,1.58,1.64,0.77125,7.392,9.7,9.45,1,1,2,0.775,0.805,0.835,0.77125,0.805,0
4.0275,1.0,2.64,1.605,1.5125,0.91,6.89,8.6,7.2,1,1,2,0.71,0.6775,0.835,0.91,0.895,0
3.6925,1.0,2.2460683760683757,1.3025,1.495,0.895,7.377,7.040000000000001,7.24,1,1,2,0.71,0.7875,0.7075,0.895,0.5925,0
4.0475,0.96,2.94,1.535,1.5875,0.925,5.986,10.0,9.4,2,1,1,0.79,0.7525,0.835,0.925,0.745,0
4.505,1.0,2.94,1.775,1.79,0.94,7.279999999999999,8.17,5.66,2,1,1,0.91,0.895,0.895,0.94,0.865,1
4.4475,1.0,2.94,1.7225,1.755,0.97,6.75,5.215,5.1530000000000005,2,1,1,0.9225,0.8775,0.8775,0.97,0.8,0
4.2175,1.0,2.22,1.655,1.6975,0.865,6.9719999999999995,9.673,8.369,1,1,1,0.895,0.8625,0.835,0.865,0.76,0
3.98,1.0,2.2460683760683757,1.575,1.555,0.85,6.24,9.5,6.65,1,1,3,0.865,0.7525,0.8025,0.85,0.71,0
4.235,0.96,1.8,1.655,1.7,0.88,7.58,8.8,9.4,1,1,2,0.88,0.88,0.82,0.88,0.775,1
4.26,0.88,2.1,1.595,1.725,0.94,6.8,9.3,5.8,2,1,1,0.88,0.875,0.85,0.94,0.715,0
3.4,0.96,2.2460683760683757,1.2875,1.355,0.7575,6.8,7.872,8.475,1,1,3,0.6925,0.6275,0.7275,0.7575,0.595,1
4.15,0.96,2.2460683760683757,1.465209248496124,1.5673950258423774,0.8315731050819122,7.5,9.5,9.7,1,1,2,0.75,0.865,0.85,0.88,0.805,0
4.35,0.92,2.1,1.465209248496124,1.5673950258423774,0.8315731050819122,6.2,7.3,6.3,1,1,1,0.88,0.865,0.875,0.865,0.865,0
4.34,0.96,2.81,1.715,1.745,0.88,5.5,9.0,7.0,2,1,1,0.895,0.88,0.865,0.88,0.82,0
4.355,1.0,2.1,1.465209248496124,1.5673950258423774,0.8315731050819122,6.97,8.8,8.65,1,1,2,0.88,0.865,0.85,0.925,0.835,0
3.655,0.94,2.5,1.41375,1.67,0.8540000000000001,6.295,8.76,6.215,1,1,3,0.77125,0.8420000000000001,0.828,0.8540000000000001,0.6425,0
3.843,0.94,2.5,1.58875,1.706,0.866,6.45,7.640000000000001,7.459999999999999,1,1,2,0.86125,0.83,0.8759999999999999,0.866,0.7275,0
3.657,0.94,2.5,1.49125,1.6340000000000001,0.83,6.174,5.804,6.6659999999999995,2,1,1,0.79375,0.83,0.804,0.83,0.6975,0
3.7535,0.65,2.5,1.649375,1.694,0.74,7.09,6.4,6.540000000000001,1,1,2,0.784375,0.828,0.866,0.74,0.865,0
3.37375,1.0,2.5,1.351666667,1.51,0.85,7.2,4.0,4.3,2,4,1,0.725,0.785,0.725,0.85,0.6266666667,0
3.48625,0.35,2.2460683760683757,1.32875,1.3825,0.775,6.853,6.4,6.0,2,1,2,0.68625,0.6925,0.69,0.775,0.6425,1
3.387,0.35,3.0,1.40125,1.472,0.794,6.0,7.6,5.76,2,1,2,0.72375,0.732,0.74,0.794,0.6775,0
4.238,1.0,2.02,1.5675,1.79,0.88,6.175,7.3,4.6,2,1,1,0.75,0.895,0.895,0.88,0.8175,0
3.8480000000000003,0.73,2.03,1.0875,1.775,0.985,6.534999999999999,8.74,7.62,1,1,1,0.615,0.865,0.91,0.985,0.4725,0
4.008,0.68,2.02,1.4,1.6825,0.925,5.72,7.364,6.081,2,1,1,0.7275,0.8175,0.865,0.925,0.6725,0
4.069,0.86,2.03,1.336875,1.7925,0.94,7.86,6.0,5.37,2,4,1,0.704375,0.9425,0.85,0.94,0.6325,0
3.279,1.0,2.0,1.0816666670000001,1.38,0.8175,6.5,8.66,8.305,1,1,1,0.615,0.72,0.66,0.8175,0.4666666667,0
4.367,0.73,1.82,1.621875,1.805,0.94,5.54,6.384,6.24,2,1,2,0.801875,0.91,0.895,0.94,0.82,0
4.018,0.64,2.01,1.335,1.7575,0.925,6.2,7.2,7.5,1,1,2,0.6825,0.8625,0.895,0.925,0.6525,0
4.141,0.59,2.2460683760683757,1.485625,1.76,0.895,6.623,8.964,8.209999999999999,1,1,1,0.768125,0.895,0.865,0.895,0.7175,1
3.3280000000000003,0.5,1.84,1.010625,1.4825,0.835,6.305,8.0,8.85,1,1,2,0.520625,0.7725,0.71,0.835,0.49,1
3.548,0.5,2.2460683760683757,1.060625,1.5775,0.91,6.56,7.456,7.616,1,1,3,0.555625,0.82,0.7575,0.91,0.505,1
4.083,0.55,2.2460683760683757,1.3225,1.79,0.97,8.16,8.7,6.1,1,2,2,0.735,0.895,0.895,0.97,0.5875,0
4.455,0.0,2.02,1.6225,1.925,0.9075,7.73,9.309999999999999,8.440000000000001,1,1,2,0.81,0.985,0.94,0.9075,0.8125,1
4.393,0.0,2.03,1.5275,1.88,0.985,7.01,8.26,5.446,2,1,1,0.8125,0.955,0.925,0.985,0.715,1
4.078,0.0,1.92,1.455,1.775,0.8475,6.87,8.74,8.4,1,1,1,0.72,0.925,0.85,0.8475,0.735,0
4.1375,1.0,2.27,1.92,1.7875,0.91,7.6,9.248000000000001,8.51,1,1,3,1.0,0.91,0.8775,0.91,0.92,0
4.149,0.94,2.33,1.8025,1.743,0.9640000000000001,7.339,9.6,9.5,1,1,3,0.8775,0.9009999999999999,0.8420000000000001,0.9640000000000001,0.925,0
3.9275,1.0,2.13,1.8,1.6975,0.88,6.3,8.0,7.1,1,1,3,0.96,0.8175,0.88,0.88,0.84,1
3.565,0.94,2.2,1.54,1.6225,0.7875,7.3,6.540000000000001,6.659999999999999,1,1,1,0.84,0.82,0.8025,0.7875,0.7,0
4.02,1.0,2.2460683760683757,1.62,1.58,0.82,5.5,8.8,7.890000000000001,2,1,2,0.84,0.8,0.78,0.82,0.78,1
4.7,1.0,2.2460683760683757,1.92,1.88,0.9,6.36,7.8,7.61,1,1,1,0.98,0.96,0.92,0.9,0.94,0
3.66,1.0,2.3,1.5475,1.618,0.804,8.39,7.4,7.12,1,1,1,0.835,0.828,0.79,0.804,0.7125,0
3.9819999999999998,1.0,2.5,1.73,1.66,0.938,8.34,9.216,8.95,1,1,2,0.88,0.8540000000000001,0.8059999999999999,0.938,0.85,0
3.4760000000000004,0.96,2.4,1.39,1.534,0.83,5.98,7.540000000000001,7.4,2,1,1,0.725,0.7759999999999999,0.758,0.83,0.665,1
3.852,1.0,2.6,1.625,1.662,0.89,5.8,7.414,6.95627857142857,2,1,1,0.85,0.868,0.794,0.89,0.775,0
3.7585,0.96,2.2,1.58,1.6545,0.84,6.7,6.75,6.8,1,1,2,0.79,0.8265,0.828,0.84,0.79,1
3.7460000000000004,1.0,2.6,1.5725,1.6580000000000001,0.83,7.4,8.751999999999999,8.233,1,1,1,0.865,0.866,0.792,0.83,0.7075,0
3.69,1.0,2.2,1.565,1.734,0.88,5.718,7.7,7.109999999999999,2,1,2,0.835,0.868,0.866,0.88,0.73,0
4.083333333,0.96,2.2460683760683757,1.4583333330000001,1.7,0.925,5.6,7.5840000000000005,7.081,2,1,2,0.7875,0.85,0.85,0.925,0.6708333333,0
4.0225,1.0,2.2460683760683757,1.4725,1.685,0.865,7.5,9.264,8.805,1,1,1,0.7575,0.865,0.82,0.865,0.715,0
4.215,0.96,2.2460683760683757,1.605,1.73,0.88,8.56,8.93,8.98,1,1,2,0.85,0.88,0.85,0.88,0.755,0
4.185,0.96,2.2460683760683757,1.575,1.715,0.895,6.7,6.7299999999999995,6.0,2,4,1,0.82,0.865,0.85,0.895,0.755,0
4.5625,0.92,2.2460683760683757,1.625,1.9375,1.0,7.3,8.0,8.6,1,1,3,0.865,0.9675,0.97,1.0,0.76,0
4.1275,1.0,2.2460683760683757,1.34,1.8325,0.955,6.0,7.3,5.5,2,1,1,0.735,0.9075,0.925,0.955,0.605,1
4.1775,1.0,2.2460683760683757,1.3575,1.865,0.955,7.02,8.2,7.9879999999999995,1,1,1,0.7975,0.955,0.91,0.955,0.56,0
4.705,0.89,2.2460683760683757,1.825,1.94,0.94,5.741,6.68,5.892,2,3,1,0.985,0.985,0.955,0.94,0.84,0
4.16,1.0,2.2460683760683757,1.4025,1.8025,0.955,5.9,7.636,7.1209999999999996,2,1,1,0.8,0.895,0.9075,0.955,0.6025,0
4.465,0.68,2.2460683760683757,1.6775,1.8025,0.985,6.4319999999999995,7.159999999999999,4.87,2,1,3,0.9375,0.9075,0.895,0.985,0.74,0
4.0125,0.89,2.2460683760683757,1.3675,1.735,0.91,6.74,8.2,7.4,1,1,1,0.83,0.86,0.875,0.91,0.5375,1
3.948,1.0,3.0,1.65,1.724,0.904,8.75,9.3,9.6,1,2,1,0.85,0.856,0.868,0.904,0.8,1
3.9419999999999997,1.0,2.7,1.66,1.722,0.892,6.792,8.273,6.169,1,1,1,0.8875,0.866,0.856,0.892,0.7725,0
3.428,0.92,1.05,1.4775,1.484,0.762,7.0,8.379999999999999,5.633,2,1,1,0.7875,0.762,0.722,0.762,0.69,0
3.8085,1.0,3.0,1.430625,1.796,0.868,6.7299999999999995,8.512,8.016,1,1,1,0.790625,0.9279999999999999,0.868,0.868,0.64,0
4.04,1.0,0.0,1.4725,1.7025,0.865,7.77,8.709,7.462000000000001,1,1,1,0.8125,0.85,0.8525,0.865,0.66,1
3.549,0.83,1.72,1.52875,1.446,0.88,7.17,8.945,6.167,1,1,2,0.86875,0.708,0.738,0.88,0.66,0
3.84625,0.92,1.61,1.42375,1.5875,0.835,6.36,8.8,6.8,1,1,1,0.79375,0.8325,0.755,0.835,0.63,0
3.528,0.91,2.2460683760683757,1.7,1.3940000000000001,0.774,6.1,7.9,6.1,1,1,1,0.91,0.738,0.82,0.774,0.79,0
3.742,0.91,1.05,1.76,1.536,0.7979999999999999,7.25,9.6,9.7,1,1,3,0.955,0.774,0.762,0.7979999999999999,0.805,0
3.435,0.82,2.2460683760683757,1.2225,1.3825,0.83,7.34,7.0,7.5,1,4,1,0.645,0.7175,0.665,0.83,0.5775,1
3.832,0.82,1.12,1.75,1.548,0.884,7.88,7.781999999999999,7.519,1,1,1,0.925,0.762,0.7859999999999999,0.884,0.825,0
4.0375,0.95,2.2460683760683757,1.635,1.5525,0.85,6.04,7.6,7.4,1,1,2,0.865,0.75,0.8025,0.85,0.77,1
4.635,0.95,2.2460683760683757,1.85,1.785,1.0,7.69,7.9799999999999995,6.9,1,1,1,0.985,0.86,0.925,1.0,0.865,1
4.34,0.91,2.2460683760683757,1.73,1.605,1.005,8.17,7.964,8.094,1,1,1,0.94,0.815,0.79,1.005,0.79,0
4.36,0.86,3.0,1.835,1.892,1.0,6.8,8.7,8.4,1,1,2,0.94,0.9279999999999999,0.9640000000000001,1.0,0.895,0
4.0275,0.73,2.2460683760683757,1.5775,1.57,0.88,7.7,7.7,6.6,1,4,1,0.835,0.8,0.77,0.88,0.7425,1
4.313333333,0.73,2.2460683760683757,1.723333333,1.59,1.0,7.88,7.659999999999999,7.76,1,3,1,0.9466666667,0.77,0.82,1.0,0.7766666667000001,1
4.395,0.64,2.2460683760683757,1.775,1.71,0.91,6.689,7.42,6.086,1,1,1,0.925,0.815,0.895,0.91,0.85,0
4.26,0.59,1.82,1.6375,1.6675,0.955,6.75,8.6,6.523000000000001,1,1,2,0.88,0.8325,0.835,0.955,0.7575,0
4.485,0.59,2.57,1.835,1.71,0.94,6.87,7.18,6.56,1,1,2,0.955,0.865,0.845,0.94,0.88,0
4.44,0.14,2.2460683760683757,1.54,1.9,1.0,6.906999999999999,8.802,7.9079999999999995,1,1,2,0.84,0.92,0.98,1.0,0.7,1
4.02,0.96,2.2460683760683757,1.56,1.685,0.775,7.8,7.6,7.2,1,1,2,0.845,0.865,0.82,0.775,0.715,0
4.224,1.0,2.2460683760683757,1.524,1.82,0.88,5.9030000000000005,9.5,7.0,2,1,1,0.955,0.9159999999999999,0.904,0.88,0.76,0
3.8139999999999996,0.92,2.2460683760683757,1.38,1.6019999999999999,0.8320000000000001,7.2,7.359999999999999,7.034999999999999,1,1,2,0.82,0.772,0.83,0.8320000000000001,0.7240000000000001,0
3.938,1.0,2.2460683760683757,1.44,1.72,0.778,7.85,8.309000000000001,7.056,1,1,1,0.88,0.878,0.8420000000000001,0.778,0.736,0
4.19,1.0,2.2460683760683757,1.595,1.625,0.85,6.44,8.33,8.709999999999999,1,1,1,0.865,0.79,0.835,0.85,0.73,0
4.2925,1.0,2.2460683760683757,1.5925,1.805,0.895,6.8,9.2,8.440000000000001,1,1,1,0.8775,0.925,0.88,0.895,0.715,0
3.862,1.0,2.2460683760683757,1.354,1.712,0.7959999999999999,6.4,6.5120000000000005,7.6,1,1,3,0.835,0.856,0.856,0.7959999999999999,0.6859999999999999,0
3.9960000000000004,1.0,2.2460683760683757,1.416,1.7480000000000002,0.8320000000000001,6.39,8.26,8.36,1,1,1,0.895,0.88,0.868,0.8320000000000001,0.7,0
4.365,1.0,2.2460683760683757,1.67,1.8925,0.8025,7.4,8.93,8.440000000000001,1,1,2,0.97,0.97,0.9225,0.8025,0.7,0
3.8875,0.8,2.2460683760683757,1.4425,1.55,0.895,7.07,7.8,7.723999999999999,1,1,1,0.745,0.745,0.805,0.895,0.6975,0
3.778,0.92,2.2460683760683757,1.35,1.62,0.8079999999999999,6.9159999999999995,8.0,7.56,1,1,2,0.8325,0.8420000000000001,0.778,0.8079999999999999,0.684,0
4.13,1.0,2.2460683760683757,1.64,1.715,0.775,7.0,6.0600000000000005,7.1,1,4,1,0.925,0.91,0.805,0.775,0.715,0
3.845,1.0,2.2460683760683757,1.505,1.535,0.805,6.5,8.6,6.5,1,1,2,0.76,0.76,0.775,0.805,0.745,0
4.2625,0.92,2.2460683760683757,1.745,1.6975,0.82,5.8,8.4,6.4,2,1,1,0.97,0.8925,0.805,0.82,0.775,0
4.205,1.0,2.2460683760683757,1.595,1.76,0.85,6.5,8.0,6.267,1,4,1,0.85,0.91,0.85,0.85,0.745,0
4.6175,1.0,2.2460683760683757,1.7525,1.925,0.94,8.34,8.333,5.66,2,1,1,0.88,0.97,0.955,0.94,0.8725,0
4.0275,1.0,2.2460683760683757,1.63,1.5775,0.82,6.59,8.7,9.11,1,2,2,0.82,0.7875,0.79,0.82,0.81,0
4.67,0.91,2.2460683760683757,1.88,1.88,0.91,6.69,5.171,5.4799999999999995,2,4,1,0.925,0.955,0.925,0.91,0.955,0
4.005,0.91,2.2460683760683757,1.62,1.5825,0.8025,6.62,7.2,6.0,2,1,2,0.7725,0.815,0.7675,0.8025,0.8475,0
3.55,0.57,2.2460683760683757,1.473333333,1.36,0.7166666667,6.5200000000000005,9.5,7.959999999999999,1,1,2,0.7366666667,0.67,0.69,0.7166666667,0.7366666667,1
4.015,0.83,2.2460683760683757,1.5125,1.6525,0.85,5.5,6.964,4.7,2,1,2,0.82,0.85,0.8025,0.85,0.6925,0
3.8489999999999998,1.0,2.63,1.4275,1.791,0.9159999999999999,6.93,9.1,7.540000000000001,1,1,1,0.8075,0.887,0.904,0.9159999999999999,0.62,0
4.15375,1.0,2.2460683760683757,1.49875,1.775,0.88,7.575,6.87,6.65,1,4,1,0.85625,0.91,0.865,0.88,0.6425,0
4.15,1.0,2.2460683760683757,1.47,1.74,0.94,6.5280000000000005,7.8,8.49,1,1,3,0.8466666667,0.9,0.84,0.94,0.6233333333,1
3.5725,0.95,2.82,1.35,1.6975,0.8625,7.458,7.790000000000001,7.74,1,1,2,0.79,0.8475,0.85,0.8625,0.56,0
3.53,1.0,1.05,1.445,1.588,0.7859999999999999,8.19,8.4,9.2,1,1,1,0.8025,0.802,0.7859999999999999,0.7859999999999999,0.6425,0
4.2325,0.85,2.2460683760683757,1.4425,1.835,0.955,8.69,8.74,8.147,1,1,3,0.835,0.91,0.925,0.955,0.6075,0
4.208,1.0,2.63,1.7225,1.9140000000000001,0.9159999999999999,6.9,6.956999999999999,7.340000000000001,1,1,1,0.9175,0.938,0.976,0.9159999999999999,0.805,0
3.694,1.0,1.46,1.5425,1.66,0.8,7.93,9.5,9.0,1,1,1,0.885,0.86,0.8,0.8,0.6575,0
4.03125,0.85,2.2460683760683757,1.43125,1.755,0.845,5.8,6.3,6.3,2,1,2,0.82375,0.91,0.845,0.845,0.6075,1
4.10625,0.9,2.2460683760683757,1.42375,1.7575,0.925,5.7,7.661,6.333,2,1,2,0.81125,0.8775,0.88,0.925,0.6125,0
4.065,0.7,2.2460683760683757,1.4,1.755,0.91,6.55,8.4,6.9,1,1,1,0.735,0.88,0.875,0.91,0.8325,1
3.523,0.85,1.05,1.33125,1.672,0.7859999999999999,7.6579999999999995,8.2,6.723000000000001,1,1,2,0.75875,0.8220000000000001,0.85,0.7859999999999999,0.5725,0
